gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
NFKBIL1	164.73	102.53	73.88	62.08	132.82	134.15	95.58	90.49	83.77	79.14	29.47	37.42	121.32	92.19	124.54	49.67	30.39	51.83	17.19	53.71	8.32	89.56	42.43	16.47	35	51.14	47.41	3.76	21.89	73.85	10.88	34.15
LTA	226.68	171.76	112.22	84.33	172.15	212.4	148.69	121.62	96.06	98.47	53.23	44.08	203.15	129.3	186.96	86.94	53.27	69.93	35.48	112.14	16.42	158.38	94.16	50.39	73.42	85.11	82.16	13.35	32.59	120.25	28.11	54.49
TNF	288.31	202.22	130.4	110.64	205.99	218.03	167.76	153.48	125.24	133.65	48.67	53.42	242.7	169.02	232.07	87.15	55.79	109.31	23.89	136.05	21.88	185.65	130.09	56.08	76.47	102.54	122.09	11.16	43.93	143.64	29.3	55.79
LTB	179.95	114.46	88.27	81.85	141.1	158.19	94.41	111.61	84.76	80.61	35.28	24.26	138.19	112.19	152.51	56.67	33.01	58.68	16.23	84.44	19.29	114.17	75.99	24.79	45.38	62.1	65.91	7.62	21.7	98.19	13.94	37.99
LST1	207.24	156.55	107.45	88.6	175.76	181.91	137.78	140.35	106.44	93.82	53.75	54.22	166.4	156.58	182.11	74.41	43.24	77.13	26.21	97.55	15.24	120.94	72.52	42.25	54.66	79.51	79.53	1.45	34.57	116.3	14.22	57.31
NCR3	183.19	137.88	97.9	82.52	162.36	165.37	126.38	141.07	107.83	93.5	45.66	47.95	143.02	122.23	152.45	55.59	35.69	60.39	16.97	82.47	14.64	107.82	73.66	27.89	43.41	70.01	66.73	4.9	20.17	84.77	16.55	35.17
AIF1	247.32	155.29	101.38	89.49	167.13	179.84	117.43	126.5	99.62	94.04	45.04	53.24	160.66	161.87	149.73	62.91	44.18	67.04	20.97	87.31	17.32	119.55	61.89	31.29	46.47	49.97	72.42	8.68	22.46	107.16	22.39	51.6
PRRC2A	199.19	142.44	97.84	80.42	172.65	160.72	156.25	120.14	90.29	89.7	40.16	57.82	171.17	128.81	156.25	63.15	42.31	77.16	23	110.57	17	132.05	72.24	37.27	61.52	64.55	72.83	7.56	36.73	122.5	18.86	38.89
ENSG00000291302	138.14	120.94	68.13	60.39	113.75	105.93	79.06	58.45	50.41	70.26	31	33.45	142.32	101.01	105.94	47.22	31.39	66.89	21	85.1	15.4	114.43	44.95	28.56	63.16	45.45	60.23	6.38	35.77	91.86	22.99	38.98
ENSG00000289282	193.69	129.14	83.18	73.34	155.48	139.14	120.86	93.47	68.58	81.41	35.38	39.73	146.87	109.74	130	50.2	21.93	57.91	20.96	85.05	13.57	103.35	50.88	29.41	59.91	52.05	54.32	8.28	27.58	104.97	16.97	25.12
BAG6	198.03	145.91	100.36	74.25	178.24	177.4	151.73	139.59	106.53	84.53	35.3	55.39	163.1	121.29	151.93	64.75	38.06	70.2	23.38	104.55	18.68	124.93	74.09	40.09	58.68	72.55	67.15	7.89	36.1	102.23	17.16	45.82
APOM	175.89	130.38	79.39	69.81	144.99	153.99	120.74	105.45	82.44	66.84	33.08	43.26	140.35	104.29	124.8	60.96	29.01	59.04	25.06	77.6	13.57	99.41	67.02	25.74	53.34	59.71	60.4	2.11	29.51	86.29	10.15	38.86
C6orf47	191.81	119.77	88.6	89.85	157.61	138.13	119.39	121.31	81.86	78.55	42.9	54.71	152.06	119.16	142.04	57.2	37.85	67.52	28.23	86.55	15.45	111.73	78.56	26.55	60.61	62.43	79.31	9.64	46.31	104.26	20.07	47.14
GPANK1	215.65	159.75	94.28	83.35	153.26	166.79	128.19	117.77	95.6	102.04	46.64	50.48	164.47	134.97	174.16	56.39	48.31	95.95	26.35	104.7	18.64	146.05	99.88	46.71	68.15	83.41	87.17	10.14	41.03	101.67	29.79	58.47
CSNK2B	254.83	161.4	107.36	96.44	190.97	215.95	155.35	141.79	118.86	111.99	42.59	67.99	188.15	169.88	186.3	72.82	59.78	106.19	28.55	134.94	30.74	162.63	126.94	48.07	75.54	93.87	89.85	10.07	47.99	143.58	28.07	68.29
ENSG00000263020	233.41	146.69	100.81	89.95	182.93	197.28	154.34	148.49	108.87	94.01	37.25	68.49	178.92	148.1	175.32	74.31	51.86	84.83	25.57	119.56	24.63	131.7	108.44	39.23	68.28	79.43	75.99	7.66	40.92	131.8	22.67	59.2
LY6G5B	207.3	131.73	91.69	79.54	166.35	177.46	148.11	154.67	95.57	73.7	31.22	65.02	167.26	119.75	163.59	71.82	42.5	60.68	23.01	102.7	16.31	97.18	88.08	28.55	61.7	64.74	63.67	5.33	33	115.3	16.9	49.64
