gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
LY6G6C	374.23	265.38	131.88	136.26	275.19	279.43	235.58	221.81	141.8	203.38	61.68	125.9	291.94	213.93	244.38	128.92	175.64	388.04	104.54	581.93	98.34	588.68	457.78	177.39	313.67	346.28	413.52	72.78	202.99	538.79	82.55	246.41
DDAH2	467.46	346.68	166.85	150.88	338.63	357.17	234.38	278.53	185.36	267.73	99.77	144.82	371.84	278.19	288.62	154.86	275.09	437.76	151.57	691.78	157.99	712.08	518.71	263.57	318.77	413.68	494.53	64.31	256.34	756.49	96.82	337.32
CLIC1	391.01	277.91	132.64	142.59	273.18	267.02	203.33	198.12	152.98	232.99	56.32	99.76	322.04	234.43	257.46	139.46	202.6	384.71	83.95	543.5	107.36	543.99	460.97	201.9	266.39	382	428.01	56.61	227.58	605.41	67.8	262.7
MSH5	296.25	218.44	100	110.78	212.08	209.83	175.6	184.05	113.85	155.03	47.07	90.78	243.91	166.61	184.73	105.19	140.8	283.96	80.04	382.52	58.67	441.8	299.76	132.89	178.01	253.82	282.37	35.16	143.66	438.47	45.95	190.43
MSH5-SAPCD1	305.65	228	106.55	115.36	225.28	217.14	186.7	196.48	120.46	160.56	49.93	96.57	254.68	175.58	197.09	110.4	152.66	300.84	84.93	403.11	63.71	469.11	317.78	142.19	191.55	267.66	300.04	37.49	152.6	456.97	50.07	200.19
SAPCD1	417.72	334.94	175.88	166.76	355.55	300.43	291.37	311.94	190.84	227.54	78.61	149.57	376.98	268.42	329.88	165.18	279.14	494.5	134.07	631.19	114.63	768.07	528.16	242.74	340.77	430.09	510.22	61.18	251.78	673.39	92.6	315.73
VWA7	336.76	240.81	121.31	111.94	234.82	229.33	195.75	199.17	114.47	182.32	63.57	90.32	271.35	180.27	219.84	109.12	168.25	295.54	85.73	425.12	73.43	482.42	324.36	162.12	183.69	302.54	328.97	34.59	156.12	428.62	45.61	195.19
VARS1	292.48	222.52	99.66	115.41	208.06	201.51	180.07	182.59	105.62	162.38	64.4	94.72	245.84	182.46	197.12	117.77	191.7	364.36	121.6	442.65	119.24	510.39	368	217.35	273.05	303.71	358.15	67.33	197.52	489.61	91.07	233.46
LSM2	197.11	140.83	60.58	63.59	129.37	119.69	122.2	116.53	70.89	97.11	34.08	52.09	152.65	106.63	133.27	65.49	62.25	178.28	58.55	221.7	32.41	243.42	152.07	68.98	86.53	146.6	159.03	18.09	67.86	237.92	17.1	91.47
HSPA1L	394.85	298.48	143.93	146.06	249.33	241.28	208.3	218	152.23	215.74	73.43	112.06	334.71	236.73	270.35	134.66	180.43	327.81	82.81	529.09	79.58	534.29	347.24	183.94	229.83	342.77	380.95	47.69	176.78	562.77	46.19	274.71
HSPA1A	492.99	359.64	161.99	159.37	328	305.85	238.95	250	194.02	251.73	92.74	142.49	421.93	308.04	327.32	134.16	206.17	500.1	118.74	645.77	85.58	623.42	467.12	242.19	332.94	410.27	430.76	45.39	204.49	556.4	71.49	274.84
HSPA1B	479.36	365.79	154.37	135.33	255.93	295.35	160.71	194.02	159.66	269.23	74.79	113.25	415.73	265.45	253.77	116.75	171.61	471.96	91.96	598.66	112.07	737.85	564.65	195.98	259.47	401.84	495.02	84.87	237.23	623.22	74.49	430.75
NEU1	361.39	252.6	117.65	113.97	223.1	225.36	159.84	161.62	120.51	173.19	57.48	86.21	288.7	198.36	221.1	135.77	161.26	278.68	87.65	385.34	52.15	495.15	302.75	146.05	175.55	223.01	339.35	28.45	118.65	470.07	33.84	221.75
SLC44A4	335.68	250.16	124.58	124.65	233.58	243.7	212.77	190	126.95	182.26	58.44	107.56	277.12	197.81	215.37	129.37	175.97	319.86	116.8	497.11	78.84	544.97	336.59	179.98	205.78	291.28	351.65	53.45	162.98	530.87	68.54	221.3
EHMT2	339.57	268.5	130.71	123.12	260.17	271.27	244.67	220.23	128.2	191.25	67.18	120.76	299.24	207.94	234.81	131.63	167.2	350.82	140.76	488.99	99.56	538.72	371.47	173.2	254.91	309.61	358.27	42.52	192.25	559.44	67.28	255.76
C2	254.77	184.29	90.75	92.08	170.87	176.02	145	144.92	96.59	143.7	47.04	82.55	209.63	156.6	163.34	87.59	112.1	231.43	73.97	335.74	64.42	349.09	261.55	116.55	155.17	207.16	258.14	32.1	137.06	355.63	33.23	153.5
ZBTB12	179.15	146.76	51.25	59.82	119.99	125.51	100.39	83.34	57.93	136.52	45.9	49.29	158.09	120.59	117.96	46.64	153.13	202.43	50.7	347.91	90.01	333.36	275.25	110.71	144.56	223.84	350.87	38.49	158.51	342.43	25.88	172.63
ENSG00000244255	311.39	222.65	119.42	117.28	214.86	219.76	193.9	183.18	122.9	172.24	57.55	103.16	259.34	197.55	207.81	118.34	151.97	301.99	90.67	434.6	86.99	470.52	353.02	170.25	221.32	259.53	329.02	41.34	168.14	483.11	49.71	231.68
CFB	413.5	305.69	167.47	166.6	308.85	306.02	282.88	252.53	154.77	217.47	77.86	129.4	354.63	264.5	268.58	171.81	216.64	455.22	120.33	603.17	130.87	627.97	526	237.56	334.96	350.88	505.73	56.85	239.38	742.19	71.44	351.88
NELFE	360.35	271.33	137.63	145.02	265.71	279.19	192.53	210.61	126.68	221.41	65.05	118.5	316.45	223.07	254.74	140.61	229.24	383.36	117.07	502.23	103.17	612.49	418	170.22	275.61	365.09	423.34	44.35	205.08	593.25	76	290.98
SKIC2	433.13	330.71	177.55	160.88	336.98	331.87	287.51	253.78	167	244.92	91.4	139.72	376.49	260.44	311.66	173.39	257.32	508.84	181.91	732.65	131.17	796.67	561.67	262.38	357.09	431.05	563.67	98.47	258.4	774.04	96.03	359.35
DXO	420.69	320.66	141.77	148.49	277.49	325.86	233.03	175.13	152.88	258.72	91.79	125.19	356.93	257.02	278.74	145.63	232.4	491.77	168.6	720.99	136.21	809.42	524.93	271.96	348.37	402.25	520.04	72.67	262.52	759.28	61.3	377.39
STK19	265.86	214.07	91.08	101.94	188.94	212.83	156.37	144.18	105.72	152.74	57.67	82.88	240.75	176.01	187.9	89.73	137.9	302.34	93.67	399.7	81.6	492.37	298.63	168.36	195.9	257.44	339.62	46.29	170.9	442.72	42.73	225.77
C4A	108.29	74.04	37.82	48.52	74.41	85.11	78.53	56.94	45.85	55.8	15.65	17.69	92.09	68.22	91.45	42.36	22.69	139.97	80.58	216.32	51.43	262.66	153.91	106.4	120.64	225.36	140.54	21.63	94.88	238.29	40.13	136.63
